|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
Corsair MP600 CORE CSSD-F1000GBMP600COR CSSD-F1000 ГБMP600COR|внутренний||1000 ГБ|M.2||3D QLC NAND|1950 МБ/с|4700 МБ/с||1500 G|1.8 млн. ч||22x80 мм||Phison PS5016-E16|5 лет|PCI-E 4.0 4x|Есть|225 ТБ|0.1 раз/день|Есть|480 тыс|200 тыс|||||Есть||0840006635246||||
Corsair MP600 Micro CSSD-F1000GBMP600MCR CSSD-F1000 ГБMP600MCR|внутренний||1000 ГБ|M.2||3D TLC NAND|4300 МБ/с|5100 МБ/с|||1.5 млн. ч||22x42 мм|||5 лет|PCI-E 4.0 4x|Есть|600 ТБ|0.3 раз/день|Есть|890 тыс|600 тыс|||||||||||
OCPC XTL-200 SSD25S3T1TBLT SSD25S3T1TBLT|внутренний||1000 ГБ|"2.5"""||3D NAND|480 МБ/с|520 МБ/с|||||100x70x7 мм|||3 года|SATA 3|||||||||||||||||
Corsair MP600 CORE XT CSSD-F2000GBMP600CXT CSSD-F2000 ГБMP600CXT|внутренний||2000 ГБ|M.2||3D QLC NAND|4400 МБ/с|5000 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|450 ТБ|0.1 раз/день|Есть|||||||||0840006601982||||
OCPC MFL-300 SSDM2PCIEF256G SSDM2PCIEF256G|внутренний||256 ГБ|M.2||3D NAND|1300 МБ/с|3000 МБ/с|||||22x80 мм|||3 года|PCI-E 3.0 4x|Есть||||110 тыс|150 тыс||||||Есть|||||
Transcend SSD470K TS128GSSD470K TS128GSSD470K|внутренний||128 ГБ|"2.5"""|SATA 3|3D NAND / 112-layer /|520 МБ/с|560 МБ/с|||3 млн. ч||100x70x7 мм|54 г||3 года||||2 раз/день||85 тыс|90 тыс||||||||TS128GSSD470K, TS128GSSD470K-I|||
Corsair MP600 CORE Mini CSSD-F1000GBMP600CMN CSSD-F1000 ГБMP600CMN|внутренний||1000 ГБ|M.2||3D QLC NAND|3800 МБ/с|5000 МБ/с|||||22x30 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||||||||
OCPC XTL-200 SSD25S3T256GLT SSD25S3T256GLT|внутренний||256 ГБ|"2.5"""||3D NAND / TLC/QLC /|450 МБ/с|510 МБ/с|||||100x70x7 мм|||3 года|SATA 3|||||||||||||||||
Hynix Platinum P41 SHPP41-1000GM SHPP41-1000GM|внутренний||1000 ГБ|M.2||3D TLC NAND / SK Hynix 176L /|6500 МБ/с|7000 МБ/с|1000 МБ / SK Hynix LPDDR4 /||1.5 млн. ч||22x80 мм||SK Hynix Aries / ACNS075 /|5 лет|PCI-E 4.0 4x|Есть|750 ТБ|0.4 раз/день|Есть|1300 тыс|1400 тыс||||||Есть|||||
Hynix Platinum P41 SHPP41-2000GM SHPP41-2000GM|внутренний||2000 ГБ|M.2||3D TLC NAND / SK Hynix 176L /|6500 МБ/с|7000 МБ/с|2000 МБ / SK Hynix LPDDR4 /||1.5 млн. ч||22x80 мм||SK Hynix Aries / ACNS075 /|5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день|Есть|1300 тыс|1400 тыс||||||Есть|||||
