|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
G.Skill Trident Z5 Neo RGB DDR5 2x16Gb F5-6400J3239G16GX2-TZ5NRW|32 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39-102|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO, подсветка|F5-6400J3239G16GX2-TZ5NR, F5-6400J3239G16GX2-TZ5NRW|||multi compatibility|
G.Skill Flare X5 DDR5 2x16Gb F5-6000J3038F16GX2-FX5|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-38-38-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO||33 мм|||
HP DDR4 DIMM 1x32Gb 805353-B21|32 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
A-Data XPG Spectrix D50 DDR4 RGB 1x16Gb AX4U360016G18I-ST50|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|AX4U360016G18I-ST50, AX4U360016G18I-SW50|40 мм||multi compatibility|
G.Skill Trident Z DDR4 2x8Gb F4-3600C16D-16GTZ|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-16-16-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F4-3600C16D-16GTZ, F4-3600C16D-16GTZKW, F4-3600C16D-16GTZSW|44 мм|||
G.Skill Trident Z5 Neo DDR5 2x16Gb F5-6000J3038F16GX2-TZ5N|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-38-38-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO|||||
Kingston Fury Renegade DDR5 RGB 1x32Gb KF564C32RSA-32|32 ГБ|1 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|KF564C32RSA-32, KF564C32RWA-32|44 мм|двухранговая|multi compatibility|
A-Data XPG Spectrix D50 DDR4 RGB 2x16Gb AX4U360016G18I-DT50|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|AX4U360016G18I-DT50, AX4U360016G18I-DW50|40 мм||multi compatibility|
HP DDR4 DIMM 1x16Gb 838081-B21|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Lenovo ThinkSystem DDR4 1x16Gb 4ZC7A08699|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
HP DDR4 DIMM 1x16Gb P43019-B21|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||
Dell XPS 8940 DDR4 1x8Gb SNPV0M5RC\/8G|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL24||1.2 В|без охлаждения|стандартный||AB120718||||
VisionTek DDR4 1x4Gb 901178|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный||||||
Kingston KCP SO-DIMM DDR5 1x8Gb KCP556SS6-8|8 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL46||1.1 В|без охлаждения|стандартный||||одноранговая||
Apacer Panther DDR5 1x16Gb AH5U16G60C5127BAA-1|16 ГБ|1 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL40|40-40-40-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
Apacer Panther DDR5 1x32Gb AH5U32G60C5127BAA-1|32 ГБ|1 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL40|40-40-40-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
G.Skill Ripjaws SO-DIMM DDR3 2x4Gb F3-1600C9D-8GRSL|8 ГБ|2 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-28|1.35 В|без охлаждения|стандартный||||||
Crucial DDR4 SO-DIMM Mac 2x32Gb CT2K32G4S266M|64 ГБ|2 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
HP DDR3 DIMM 1x2Gb 647905-B21|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
IBM DDR3 49Y1397|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 49Y1399|8 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 500670-B21|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка ECC|500670-B21, 501540-001||||
HP 1.35V DDR3 DIMM 1x8Gb 604506-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|604506-B21, 606427-001||||
Cisco DDR4 UCS-MR-1X162RU-A|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HyperX Impact SO-DIMM DDR3 1x4Gb HX318LS11IB\/4|4 ГБ|1 шт|SO-DIMM|DDR3|1866 МГц|15000 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|||30 мм|||
HP DDR4 DIMM 1x16Gb 843313-B21|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x16Gb 815098-B21|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x16Gb 867855-B21|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x16Gb 838089-B21|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x16Gb P19042-B21|16 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
A-Data Lancer DDR5 2x32Gb AX5U5600C3632G-DCLABK|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO|AX5U5600C3632G-DCLABK, AX5U5600C3632G-DCLAWH|40 мм|||
G.Skill Ripjaws DDR5 SO-DIMM 1x32Gb F5-5600S4645A32GX1-RS|32 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-45-45|1.1 В|без охлаждения|стандартный||||||
Micron DDR5 1x16Gb MTC10C1084S1EC48B|16 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный|поддержка ECC|MTC10C1084S1EC48BA1||одноранговая||
Corsair Vengeance LPX DDR4 4x16Gb CMK64GX4M4A2666C16|64 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|двухранговая||
Corsair ValueSelect DDR4 1x16Gb CMV16GX4M1A2133C15|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-36|1.2 В|радиатор|стандартный||||двухранговая||
Corsair Dominator Platinum RGB DDR4 4x8Gb CMT32GX4M4C3600C18|32 ГБ|4 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-19-19-39|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMT32GX4M4C3600C18, CMT32GX4M4C3600C18W|52 мм||Corsair iCUE|
Kingston KVR SO-DIMM DDR3 2x8Gb KVR16LS11K2\/16|16 ГБ|2 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11||1.35 В|без охлаждения|стандартный||||двухранговая||
Transcend JetRam DDR5 SO-DIMM 1x8Gb JM4800ASG-8G|8 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40||1.1 В|без охлаждения|стандартный|||30 мм|одноранговая||
A-Data XPG Spectrix D35 DDR4 RGB 2x32Gb AX4U360032G18I-DTBKD35G|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|AX4U360032G18I-DTBKD35G, AX4U360032G18I-DTWHD35G|36 мм||multi compatibility|
Crucial Pro DDR4 2x16Gb CP2K16G4DFRA32A|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|радиатор|стандартный||||||
HyperX Genesis DDR3 KHX1600C9D3K3\/6GX|6 ГБ|3 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-27|1.65 В|радиатор|стандартный|серия для разгона (overclocking)|||||
Transcend DDR2 TS256MLQ64V8U|2 ГБ|1 шт|DIMM|DDR2|800 МГц|6400 МБ/с|CL6|6-6-6-15|1.8 В|без охлаждения|стандартный||||||
Crucial DDR4 SO-DIMM 2x8Gb CT2K8G4SFS8266|16 ГБ|2 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||одноранговая||
Crucial Ballistix Tactical RGB 2x8Gb BLT2K8G4D30BET4K|16 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||
Kingston KSM ValueRAM SO-DIMM DDR4 1x8Gb KSM24SES8\/8ME|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка ECC||30 мм|||
Samsung DDR3 1x2Gb M378B5673FH0-CH9|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9||1.5 В|без охлаждения|стандартный||||||
HyperX Savage DDR3 4x8Gb HX321C11SRK4\/32|32 ГБ|4 шт|DIMM|DDR3|2133 МГц|17000 МБ/с|CL11|11-12-12|1.6 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33.3 мм|||
Micron DDR4 1x16Gb MTA16ATF2G64AZ-3G2|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||MTA16ATF2G64AZ-3G2E1, MTA16ATF2G64AZ-3G2J1||двухранговая||
HP DDR4 DIMM 1x16Gb 141H3AA|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|||1.2 В|без охлаждения|стандартный||||||
HyperX Genesis DDR3 KHX8500D2K2\/4G|4 ГБ|2 шт|DIMM|DDR2|1066 МГц|8500 МБ/с||5-5-5-15|2.2 В|радиатор|стандартный|серия для разгона (overclocking)|||||
HyperX Genesis DDR3 KHX1333C7AD3K2\/4G|4 ГБ|2 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL7|7-7-7-20|1.65 В|радиатор|стандартный|серия для разгона (overclocking)|||||
Corsair Mac Memory DDR3 CMSA8GX3M2A1066C7|8 ГБ|2 шт|SO-DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7-20|1.5 В|без охлаждения|стандартный||||||
Hynix SO-DIMM DDR3 1x2Gb HMT125S6TFR8C-G7|2 ГБ|1 шт|SO-DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный||||||
G.Skill Aegis DDR4 2x4Gb F4-2133C15D-8GIS|8 ГБ|2 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-35|1.2 В|без охлаждения|стандартный|||31.2 мм|||
Kingston KCP ValueRAM DDR4 1x16Gb KCP426ND8\/16|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||двухранговая||
Corsair Vengeance SO-DIMM DDR4 2x8Gb CMSX16GX4M2A3000C18|16 ГБ|2 шт|SO-DIMM|DDR4|3000 МГц|24000 МБ/с|CL18|18-20-20-38|1.2 В|без охлаждения|стандартный||||||
Transcend JetRam DDR5 1x32Gb JM4800ALE-32G|32 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40||1.1 В|без охлаждения|стандартный|||31.2 мм|двухранговая||
A-Data XPG Gammix D35 DDR4 2x16Gb AX4U360016G18I-DTBKD35|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|AX4U360016G18I-DTBKD35, AX4U360016G18I-DTWHD35|34 мм|||
PNY Performance DDR4 1x32Gb MD32GSD43200-TB|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный|||31.2 мм|||
Corsair Vengeance RGB DDR5 2x16Gb CMH32GX5M2B6600C38|32 ГБ|2 шт|DIMM|DDR5|6600 МГц|52800 МБ/с|CL38|38-48-48-106|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||56 мм||Corsair iCUE|
Team Group Elite Plus DDR5 2x8Gb TPBD516G4800HC40DC016|16 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный||TPBD516G4800HC40DC016, TPSD516G4800HC40DC016|31.25 мм|||
Team Group Elite Plus DDR5 2x8Gb TPBD516G5200HC42DC016|16 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42-84|1.1 В|радиатор|стандартный||TPBD516G5200HC42DC016, TPSD516G5200HC42DC016|31.25 мм|||
Team Group Elite Plus DDR5 2x8Gb TPBD516G5600HC46DC01|16 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-46-46-90|1.1 В|радиатор|стандартный||TPBD516G5600HC46DC01, TPSD516G5600HC46DC01|31.25 мм|||
Team Group Elite Plus DDR5 2x32Gb TPBD564G4800HC40DC01|64 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный||TPBD564G4800HC40DC01, TPSD564G4800HC40DC01|31.25 мм|||
Team Group Elite Plus DDR5 2x32Gb TPBD564G5200HC42DC01|64 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42-84|1.1 В|радиатор|стандартный||TPBD564G5200HC42DC01, TPSD564G5200HC42DC01|31.25 мм|||
Team Group Elite Plus DDR5 2x32Gb TPBD564G5600HC46DC01|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-46-46-90|1.1 В|радиатор|стандартный||TPBD564G5600HC46DC01, TPSD564G5600HC46DC01|31.25 мм|||
Team Group Elite Plus DDR5 2x32Gb TPBD564G6000HC48DC01|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL48|48-48-48-96|1.1 В|радиатор|стандартный||TPBD564G6000HC48DC01, TPSD564G6000HC48DC01|31.25 мм|||
Team Group Elite Plus DDR5 2x32Gb TPBD564G6400HC52DC01|64 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL52|52-52-52-103|1.1 В|радиатор|стандартный||TPBD564G6400HC52DC01, TPSD564G6400HC52DC01|31.25 мм|||
Team Group Elite Plus DDR5 1x8Gb TPBD58G4800HC40016|8 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный||TPBD58G4800HC40016, TPSD58G4800HC40016|31.25 мм|||
Team Group Elite Plus DDR5 1x8Gb TPBD58G5200HC42016|8 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42-84|1.1 В|радиатор|стандартный||TPBD58G5200HC42016, TPSD58G5200HC42016|31.25 мм|||
Team Group Elite Plus DDR5 1x8Gb TPBD58G5600HC4601|8 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-46-46-90|1.1 В|радиатор|стандартный||TPBD58G5600HC4601, TPSD58G5600HC4601|31.25 мм|||
Team Group Elite Plus DDR5 1x16Gb TPBD516G4800HC4001|16 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный||TPBD516G4800HC4001, TPSD516G4800HC4001|31.25 мм|||
Team Group Elite Plus DDR5 1x16Gb TPBD516G5200HC4201|16 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42-84|1.1 В|радиатор|стандартный||TPBD516G5200HC4201, TPSD516G5200HC4201|31.25 мм|||
Team Group Elite Plus DDR5 1x16Gb TPBD516G5600HC4601|16 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-46-46-90|1.1 В|радиатор|стандартный||TPBD516G5600HC4601, TPSD516G5600HC4601|31.25 мм|||
Team Group Elite Plus DDR5 1x16Gb TPBD516G6000HC4801|16 ГБ|1 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL48|48-48-48-96|1.1 В|радиатор|стандартный||TPBD516G6000HC4801, TPSD516G6000HC4801|31.25 мм|||
Team Group Elite Plus DDR5 1x16Gb TPBD516G6400HC5201|16 ГБ|1 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL52|52-52-52-103|1.1 В|радиатор|стандартный||TPBD516G6400HC5201, TPSD516G6400HC5201|31.25 мм|||
Team Group Elite Plus DDR5 1x32Gb TPBD532G4800HC4001|32 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный||TPBD532G4800HC4001, TPSD532G4800HC4001|31.25 мм|||
Team Group Elite Plus DDR5 1x32Gb TPBD532G5200HC4201|32 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42-84|1.1 В|радиатор|стандартный||TPBD532G5200HC4201, TPSD532G5200HC4201|31.25 мм|||
