|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Micron DDR5 SO-DIMM 1x8Gb MTC4C10163S1SC48B|8 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный||MTC4C10163S1SC48BA1||одноранговая||
HyperX Fury DDR4 1x8Gb HX424C15FB2\/8|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|HX424C15FB2/8, HX424C15FR2/8, HX424C15FW2/8|34 мм|одноранговая||
Dell Precision Mobile Workstation 3510 DDR4 1x8Gb SNPMKYF9C\/8G|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17||1.2 В|без охлаждения|стандартный||A9210967||одноранговая||
Corsair Vengeance DDR5 SO-DIMM 2x32Gb CMSX64GX5M2A4800C40|64 ГБ|2 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40|1.1 В|без охлаждения|стандартный||||||
Patriot Memory Viper Elite DDR5 1x16Gb PVER516G60C42W|16 ГБ|1 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL42|42-42-42-82|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KVR1333D3S9\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Crucial Value DDR3 1x4Gb CT51264BD160B|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x2Gb M471B5773EB0-CK000|2 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR3 1x16Gb KTH-PL313LV\/16G|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Samsung DDR3 SO-DIMM 1x4Gb M471B5173BH0-CH9|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Crucial Value DDR3 1x2Gb CT25664BA160BJ|2 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTA-MB1066\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1066 МГц|8500 МБ/с|||1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTH-X3BS\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL4||1.35 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR3 1x4Gb KTH-PL316S8\/4G|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL4||1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Crucial Value DDR3 1x16Gb CT204872BB160B|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM SO-DIMM DDR3 2x8Gb KVR13S9K2\/16|16 ГБ|2 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
HP DDR4 DIMM 1x32Gb 728629-B21|32 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM DDR3 1x4Gb KTD-XPS730CS\/4G|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|||30 мм|||
Kingston ValueRAM DDR3 1x4Gb KTD-XPS730BS\/4G|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|||30 мм|||
Samsung DDR4 1x32Gb M393A4K40BB0-CPB0Q|32 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 500660-B21|4 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|500660-B21, 501535-001||||
Kingston ValueRAM DDR3 1x4Gb KTH9600C\/4G|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|||30 мм|||
HP DDR4 DIMM 1x32Gb 805351-B21|32 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Samsung DDR4 1x16Gb M393A2G40EB1-CRC|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Samsung DDR4 1x32Gb M393A4K40CB2-CTD|32 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Crucial Value DDR3 1x16Gb CT204864BD160B|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Crucial DDR5 SO-DIMM 2x32Gb CT2K32G48C40S5|64 ГБ|2 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный||||||
Hynix SO-DIMM DDR3 1x8Gb HMT41GS6BFR8A|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|21300 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x8Gb M471B1G73QH0-YK0|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
