|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
INNO3D GeForce RTX 3080 X3 LHR N30803-106X-1810VA44H|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|300 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1710 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||1 шт|3 шт|23907 балл(ов)|N30803-106X-1810VA44H|v.2.1|v.1.4|750 Вт|Есть|Есть|Ampere|||||||||0835168002715, 4895223102695|||
ZOTAC GeForce RTX 3070 Twin Edge OC LHR ZT-A30700H-10PLHR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2|232 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1755 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|21358 балл(ов)|ZT-A30700H-10PLHR|v.2.1|v.1.4a|650 Вт|Есть|Есть|Ampere||||||||||||
MSI Radeon RX 6750 XT MECH 2X 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|250 Вт|8 + 8 pin|2.5|249 мм|AMD Radeon RX 6750 XT|12 ГБ|GDDR6|192 бит|2600 МГц|18000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт|21624 балл(ов)||v.2.1|v.1.4|650 Вт|Есть||Big Navi (RDNA 2)||||||Есть||||||
Palit GeForce GT 730 NE5T7300HD46-2081F|PCI-E v2.0||1 шт|||2|активное (кулер)|25 Вт||1|160 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|64 бит|902 МГц|5000 МГц|28 нм|2560x1600 пикс|12|4.5|384|5|32|1 шт||||||||||||||Есть||1 шт|||||
MSI GeForce RTX 3060 AERO ITX 12G OC|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|172 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1792 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|1 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть||||||||||||||
MSI GeForce RTX 3070 GAMING Z TRIO|PCI-E v4.0||||3 шт|4|активное (кулер)|240 Вт|8 + 8 pin|2.7|323 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1845 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)||v.2.1|v.1.4a|650 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
PowerColor Radeon RX 7900 XTX 24GB GDDR6|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 pin|2.5|300 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2500 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт|||v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|||1 шт||||||4713436174660|||
MSI Radeon RX 6500 XT MECH 2X 4G|PCI-E v4.0||||1 шт|2|активное (кулер)||6 pin|2|172 мм|AMD Radeon RX 6500 XT|4 ГБ|GDDR6|64 бит||18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|1024|||1 шт|2 шт|||v.2.1|v.1.4|400 Вт|Есть||Big Navi (RDNA 2)||||||||||||
MSI GeForce RTX 4080 12GB VENTUS 3X OC|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin||308 мм|NVIDIA GeForce RTX 4080|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть||||||||||||||
Asus Radeon RX 6700 XT TUF OC TUF-RX6700XT-O12G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|230 Вт|8 + 8 pin|3|322 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2622 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|3 шт|18878 балл(ов)|TUF-RX6700XT-O12G-GAMING|v.2.1|v.1.4a|650 Вт|Есть|||Есть|||Asus Aura Sync||Есть||||||
