|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
Gigabyte GeForce RTX 4070 EAGLE OC 12G GV-N4070EAGLE OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|261 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)|GV-N4070EAGLE OC-12GD|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion|||||4719331312961|||
MSI GeForce RTX 4060 Ti GAMING 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|247 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|||v.2.1a|v.1.4a||Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Asus GeForce RTX 4060 Ti Dual OC 16GB DUAL-RTX4060TI-O16G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2625 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-O16G|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|||||||||4711387275290|||
Asus Radeon RX 550 PH-RX550-4G-EVO 90YV0AG7-M0NA00|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|||2|192 мм|AMD Radeon RX 550|4 ГБ|GDDR5|128 бит|1183 МГц|7000 МГц|14 нм|5120x3200 пикс|12|4.5|512|5|32|1 шт|1 шт|3441 балл(ов)|90YV0AG7-M0NA00|v.2.0|v.1.4|400 Вт||||||||||||4718017743341|||
ASRock Radeon RX 7800 XT Phantom Gaming 16GB OC RX7800XT PG 16GO|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.5|328 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2565 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт||RX7800XT PG 16GO|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|Есть|||ASRock Polychrome Sync|||||4710483943669|||
PowerColor Radeon RX 7900 XTX Hellhound RX 7900 XTX 24G-L/OC|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|338 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2525 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт||RX 7900 XTX 24G-L/OC|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|Есть||||||||4713436174639|||
AFOX GeForce GT 610 AF610-2048D3L7|PCI-E v2.0|||1 шт|||активное (кулер)|||1|146 мм|NVIDIA GeForce GT 610|1 ГБ|GDDR3|64 бит|954 МГц|1333 МГц|40 нм|2560x1600 пикс|11|4.2|48|5|4|1 шт|1 шт|||||||||||||Есть||1 шт|||||
ASRock Radeon RX 6700 XT Challenger Pro 12GB OC RX6700XT CLP 12GO|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.5|303 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2620 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|3 шт|18878 балл(ов)|RX6700XT CLP 12GO|v.2.1|v.1.4a|700 Вт|Есть||||||||Есть||||||
Gigabyte GeForce RTX­­ 4060 Ti GAMING OC 16G GV-N406TGAMING OC-16GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2.5|281 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||2 шт|3 шт|22604 балл(ов)|GV-N406TGAMING OC-16GD|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion|||||4719331314330|||
Gigabyte Radeon RX 7700 XT GAMING OC 12G GV-R77XTGAMING OC-12GD|PCI-E v4.0 / x16 /||||2 шт|4|активное (кулер)|245 Вт|8 + 8 pin|3|302 мм|AMD Radeon RX 7700 XT|12 ГБ|GDDR6|192 бит||18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3456|||2 шт|3 шт||GV-R77XTGAMING OC-12GD|v.2.1|v.2.1|700 Вт|||Navi 3X (RDNA 3)|Есть|||Gigabyte RGB Fusion|||||4719331314446|||
Gigabyte GeForce RTX 4070 Ti AORUS MASTER 12G GV-N407TAORUS M-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.5|342 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2670 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|GV-N407TAORUS M-12GD|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion|||||4719331312596|||
AFOX GeForce 210 AF210-1024D3L5-V2|PCI-E v2.0|||1 шт||2|пассивное (радиатор)|||1|150 мм|NVIDIA GeForce 210|1 ГБ|GDDR3|64 бит|589 МГц|1200 МГц|40 нм|4096x2160 пикс|10.1|3.1|16|4.1|8|1 шт||||||300 Вт||||||||Есть||1 шт|||||
MSI Radeon RX 6750 XT GAMING X TRIO 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|250 Вт|8 + 8 pin|2.5|327 мм|AMD Radeon RX 6750 XT|12 ГБ|GDDR6|192 бит|2623 МГц|18000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|3 шт|||v.2.1|v.1.4|650 Вт|Есть||Big Navi (RDNA 2)|Есть|||MSI Mystic Light Sync||Есть|||4719072961510|||
AFOX Radeon R5 220 AFR5220-2048D3L5|PCI-E v2.1||1 шт|||2|активное (кулер)|20 Вт||1|145 мм|AMD Radeon R5 220|2 ГБ|GDDR3|64 бит|650 МГц|1333 МГц||4096x2160 пикс|11.2|||||1 шт|1 шт|||||300 Вт||||||||||1 шт|||||
Asus GeForce RTX 4060 Ti Dual 16GB DUAL-RTX4060TI-16G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2565 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-16G|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
ASRock Radeon RX 7700 XT Steel Legend 12GB OC RX7700XT SL 12GO|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|245 Вт|8 pin|2.7|304 мм|AMD Radeon RX 7700 XT|12 ГБ|GDDR6|192 бит|2599 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3456|||1 шт|3 шт||RX7700XT SL 12GO|v.2.1|v.2.1|750 Вт|||Navi 3X (RDNA 3)|Есть|||ASRock Polychrome Sync|||||4710483943621|||
AFOX GeForce RTX 2060 AF2060-6144D6H4-V2|PCI-E v3.0||||3 шт|4|активное (кулер)|160 Вт|8 pin|3|225 мм|NVIDIA GeForce RTX 2060|6 ГБ|GDDR6|192 бит|1680 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|1920||120|1 шт|2 шт|13121 балл(ов)||v.2.0b|v.1.4|500 Вт|Есть||Turing||||||||||||
AFOX GeForce GT 730 AF730-2048D3L6|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|146 мм|NVIDIA GeForce GT 730|2 ГБ|GDDR3|128 бит|954 МГц|1333 МГц|28 нм|2560x1600 пикс|12|4.4|384|5|32|1 шт|1 шт|||||300 Вт||||||||||1 шт|||||
MSI GeForce RTX 4080 16GB SUPRIM X|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin||336 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит||22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||1 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
Asus Radeon RX 6600 XT DUAL OC DUAL-RX6600XT-O8G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.2|243 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит|2607 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|15469 балл(ов)|DUAL-RX6600XT-O8G|v.2.1|v.1.4a|500 Вт|Есть||||||||||||||
Gigabyte GeForce RTX 4080 GAMING OC 16GB GV-N4080GAMING OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|342 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2535 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|GV-N4080GAMING OC-16GD|v.2.1|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Asus Radeon RX 6650 XT Dual OC DUAL-RX6650XT-O8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|175 Вт|8 pin|2.5|243 мм|AMD Radeon RX 6650 XT|8 ГБ|GDDR6|128 бит|2689 МГц|17500 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||DUAL-RX6650XT-O8G|v.2.1|v.1.4a|650 Вт|Есть||Big Navi (RDNA 2)|Есть|||Asus Aura Sync|||||4711081647539|||
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|199 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
PowerColor Radeon RX 7800 XT Hellhound RX 7800 XT 16G-L/OC|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.5|332 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2520 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт||RX 7800 XT 16G-L/OC|v.2.1|v.2.1|750 Вт|||Navi 3X (RDNA 3)|Есть||||||||4713436174943|||
MSI GeForce RTX 4060 GAMING X 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|115 Вт|8 pin|2|247 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2610 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|2 шт|18158 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace|||||||||4711377115476|||
Asus GeForce RTX 4060 Dual DUAL-RTX4060-8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2490 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|2 шт|18158 балл(ов)|DUAL-RTX4060-8G|v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 3060 Twin Edge OC ZT-A30600H-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|224 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)|ZT-A30600H-10M|v.2.1|v.1.4a|600 Вт|Есть||Ampere|||||||||4895173622830|||
Gigabyte GeForce RTX 3060 WINDFORCE OC 12G LHR GV-N3060WF2OC-12GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|198 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1792 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|2 шт|2 шт|16618 балл(ов)|GV-N3060WF2OC-12GD|v.2.1|v.1.4a|550 Вт|Есть|Есть|Ampere|||||||||4719331311193|||
INNO3D GeForce RTX 4060 TWIN X2 N40602-08D6-173051N|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|250 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2460 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|2 шт||N40602-08D6-173051N|v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
Palit GeForce RTX 3050 Dual DVI NE63050018P1-1070D|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|115 Вт|6 pin|2|172 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт|12770 балл(ов)|NE63050018P1-1070D|v.2.1|v.1.4a|550 Вт|Есть||Ampere|||||||||4710562243703|||
Palit GeForce RTX 3090 GamingPro NED3090019SB-132BA|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3090|24 ГБ|GDDR6X|384 бит|1695 МГц|19500 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10496|||1 шт|3 шт|25031 балл(ов)|NED3090019SB-132BA|v.2.1|v.1.4a|750 Вт|Есть|||Есть|||||Есть||||||
MSI N210-1GD3/LP N210-1GD3\/LP|PCI-E v2.0|||1 шт||3|активное (кулер)|||1|145 мм|NVIDIA GeForce 210|1 ГБ|GDDR3|64 бит|460 МГц|800 МГц|40 нм|2560x1600 пикс|10.1|3.1|16|4.1|8|1 шт|1 шт|||||||||||||||1 шт|||||
AFOX Radeon RX 550 AFRX550-2048D5H4|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|||2|155 мм|AMD Radeon RX 550|2 ГБ|GDDR5|128 бит|1180 МГц|6000 МГц|14 нм|7680x4320 пикс|12|4.5|512|5|32|1 шт|1 шт|3441 балл(ов)||||400 Вт|||||||||||||||
Palit GeForce RTX 4070 Ti JetStream NED407T019K9-1043J|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|31526 балл(ов)|NED407T019K9-1043J|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|||||||||4710562243796|||
Palit GeForce RTX 3060 Ti Dual NE6306T019P2-190AD|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|247 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|NE6306T019P2-190AD|v.2.1|v.1.4a|550 Вт|Есть|||Есть|||||||||||
ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC RX7900XTX PG 24GO|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 + 8 pin|2.7|330 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2615 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт||RX7900XTX PG 24GO|v.2.1|v.2.1|1000 Вт|||Navi 3X (RDNA 3)|Есть|||ASRock Polychrome Sync||||||||
Gigabyte Radeon RX 6750 XT AORUS ELITE 12G GV-R675XTAORUS E-12GD|PCI-E v4.0||||2 шт|4|активное (кулер)|250 Вт|6 + 8 pin|2.5|296 мм|AMD Radeon RX 6750 XT|12 ГБ|GDDR6|192 бит|2623 МГц|18000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||2 шт|3 шт||GV-R675XTAORUS E-12GD|v.2.1|v.1.4|650 Вт|Есть||Big Navi (RDNA 2)|Есть|||Gigabyte RGB Fusion||Есть|||4719331310813|||
ASRock Radeon RX 7600 Challenger 8GB OC RX 7600 CL 8GO|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|269 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2695 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|3 шт||RX 7600 CL 8GO|v.2.1|v.1.4a|550 Вт|||Navi 3X (RDNA 3)|||||||||4710483942037|||
PowerColor Radeon RX 7800 XT Red Devil RX 7800 XT 16G-E/OC|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.5|345 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2565 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт||RX 7800 XT 16G-E/OC|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|Есть||||||||4713436174936|||
INNO3D GeForce RTX 4090 iCHILL X3|PCI-E v4.0||||3 шт|4|активное (кулер)|850 Вт|16 pin|3|334 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2580 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт|||v.2.1|v.1.4a||Есть|||Есть|||||||||||
Palit GeForce RTX 4060 Ti JetStream OC 16GB NE6406TU19T1-1061J|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|165 Вт|8 pin|2.5|250 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)|NE6406TU19T1-1061J|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Sapphire Radeon RX 7800 XT NITRO+ 16GB 11330-01-20G|PCI-E v4.0 / x16 /||||2 шт|4|активное (кулер)|288 Вт|8 + 8 pin|3|320 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит||19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||2 шт|3 шт||11330-01-20G|v.2.1|v.2.1|700 Вт|||Navi 3X (RDNA 3)|Есть||||||||4895106294332|||
Gigabyte Radeon RX 7900 XTX AORUS ELITE 24G GV-R79XTXAORUS E-24GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 + 8 pin|3.5|335 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2680 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|12288|||2 шт|3 шт||GV-R79XTXAORUS E-24GD|v.2.1|v.2.1|850 Вт|||Navi 3X (RDNA 3)|Есть|||Gigabyte RGB Fusion||||||||
MSI GeForce RTX 4070 Ti SUPRIM X 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.5|338 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2790 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 4080 16GB AMP Extreme AIRO ZT-D40810B-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.5|356 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2565 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|ZT-D40810B-10P||v.1.4a|750 Вт|Есть||Ada Lovelace|Есть||||||||4895173626364|||
INNO3D GeForce GTX 1650 GDDR6 TWIN X2 OC N16502-04D6X-1177VA25|PCI-E v3.0||||2 шт|3|активное (кулер)|||2|196 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1620 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|8051 балл(ов)|N16502-04D6X-1177VA25|v.2.0b|v.1.4|300 Вт|Есть|||||||||||4895223101377|||
Intel Arc A750 8GB|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|225 Вт|6 + 8 pin|2||Intel Arc A750|8 ГБ|GDDR6|256 бит|2050 МГц|16000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|3584|||1 шт|2 шт|||v.2.1|v.2.0|||||Есть|||||||||||
Gigabyte GeForce GT 1030 OC 2G|PCI-E v3.0||1 шт|||2|активное (кулер)|30 Вт||2|168 мм|NVIDIA GeForce GT 1030|2 ГБ|GDDR5|64 бит|1290 МГц|6008 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт|1 шт|2208 балл(ов)||||300 Вт||||||||||||4719331301699|||
PowerColor Radeon RX 6400 Low Profile AXRX 6400 LP 4GBD6-DH|PCI-E v4.0 / x4 /||||1 шт|2|активное (кулер)|55 Вт||1|155 мм|AMD Radeon RX 6400|4 ГБ|GDDR6|64 бит|2321 МГц|16000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|768|||1 шт|1 шт||AXRX 6400 LP 4GBD6-DH|v.2.1|v.1.4a|350 Вт||||||||Есть|||||||
Asus GeForce RTX 4080 ROG Strix OC 16GB ROG-STRIX-RTX4080-O16G-GAMING|PCI-E v4.0||||2 шт|4|активное (кулер)||16 pin|3.5|358 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2655 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||2 шт|3 шт||ROG-STRIX-RTX4080-O16G-GAMING|v.2.1a|v.1.4a|700 Вт|Есть|||Есть|||Asus Aura Sync||||||||
Palit GeForce RTX 4080 GamingPro NED4080019T2-1032A|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|329 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2505 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED4080019T2-1032A|v.2.1|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть||||||||4710562243673|||
Gigabyte GeForce GT 730 GV-N730D3-2GI|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|177 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|64 бит|902 МГц|1800 МГц|28 нм|4096x2160 пикс|11.2|4.4|384|5|32|1 шт|1 шт|||||||||||||||1 шт|||||
Palit GeForce RTX 4070 Ti GameRock NED407T019K9-1045G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED407T019K9-1045G|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
ZOTAC GeForce RTX 3060 Ti Twin Edge OC LHR ZT-A30610H-10MLHR|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|222 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|ZT-A30610H-10MLHR|v.2.1|v.1.4a|650 Вт|Есть|Есть|||||||||||||
Palit GeForce RTX 4060 StormX NE64060019P1-1070F|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|115 Вт|8 pin|2|170 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2460 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|1 шт|18158 балл(ов)|NE64060019P1-1070F|v.2.1|v.1.4a|600 Вт|Есть||Ada Lovelace|||||||||4710562244069|||
Asus GeForce RTX 4080 ROG Strix 16GB ROG-STRIX-RTX4080-16G-GAMING|PCI-E v4.0||||2 шт|4|активное (кулер)||16 pin|3.5|358 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2535 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||2 шт|3 шт||ROG-STRIX-RTX4080-16G-GAMING|v.2.1a|v.1.4a|700 Вт|Есть|||Есть|||Asus Aura Sync||||||||
Gigabyte GeForce RTX 3060 EAGLE OC 12G GV-N3060EAGLE OC-12GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|242 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|2 шт|2 шт|16618 балл(ов)|GV-N3060EAGLE OC-12GD|v.2.1|v.1.4a||Есть||Ampere|||||||||4719331309305|||
Palit GeForce GT 1030 1082F NEC103000646-1082F|PCI-E v3.0||1 шт|||2|активное (кулер)|20 Вт||1|135 мм|NVIDIA GeForce GT 1030|2 ГБ|DDR4|64 бит|1151 МГц|2100 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт|1 шт|2208 балл(ов)|NEC103000646-1082F|v.2.0b||300 Вт||||||||Есть|||||||
Gigabyte GeForce RTX 4080 AORUS MASTER 16GB GV-N4080AORUS M-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|357 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2550 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|GV-N4080AORUS M-16GD|v.2.1|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
