|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core i9 Rocket Lake i9-11900K BOX|Core i9|Rocket Lake|Intel LGA 1200|14 нм|3.5 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics 750|8 ГТ/с||||2 шт|BX8070811900K, BXC8070811900K|5.1 ГГц||Есть||||Есть|4.0|3200 МГц|||||5.2 ГГц|||||25621 балл(ов)|48287 балл(ов)|2575 балл(ов)|||16 МБ|128 ГБ||
AMD Ryzen 5 Vermeer 5600X3D OEM|Ryzen 5|Vermeer (Zen 3)|AMD AM4|7 нм|3.3 ГГц|105 Вт|AVX2, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||90 °С|6 cores|||12 threads|отсутствует|||128 ГБ||2 шт|100-000001176|4.4 ГГц|OEM (без коробки)|Есть|||96 МБ|Есть|4.0|3200 МГц||||||||||||||||||
AMD Ryzen 5 Picasso 3400G OEM|Ryzen 5|Picasso (Zen+)|AMD AM4|12 нм|3.7 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|37|95 °С|4 cores|||8 threads|Radeon Vega 11|||||2 шт|YD3400C5M4MFH|4.2 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||9414 балл(ов)|15896 балл(ов)||384 КБ|2048 КБ|4 МБ|||
Intel Core i3 Coffee Lake i3-8100 OEM|Core i3|Coffee Lake|Intel LGA 1151 v2|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|36||4 cores|||4 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8068403377308||||||||3.0|2400 МГц||||||||||8059 балл(ов)|14714 балл(ов)|616 балл(ов)|||6 МБ|64 ГБ||
Intel Core i7 Comet Lake i7-10700KF BOX|Core i7|Comet Lake|Intel LGA 1200|14 нм|3.8 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|38|100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|BX8070110700KF, BXC8070110700KF|5 ГГц||Есть||||Есть|3.0|2933 МГц|||||5.1 ГГц|||||19819 балл(ов)|37608 балл(ов)|2344 балл(ов)|||16 МБ|128 ГБ||
Intel Core i7 Rocket Lake i7-11700K BOX|Core i7|Rocket Lake|Intel LGA 1200|14 нм|3.6 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics 750|8 ГТ/с||||2 шт|BX8070811700K, BXC8070811700K|5 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||25800 балл(ов)|54386 балл(ов)||||16 МБ|128 ГБ||
Intel Core i9 Coffee Lake Refresh i9-9900KF OEM|Core i9|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|36||8 cores|||16 threads|отсутствует|||||2 шт|CM8068403873927|5 ГГц||Есть||||Есть|3.0|2666 МГц||||||||||18805 балл(ов)|37895 балл(ов)|2081 балл(ов)|512 КБ|2048 КБ|16 МБ|128 ГБ||
Intel Core i9 Alder Lake i9-12900KS OEM|Core i9|Alder Lake|Intel LGA 1700|10 нм||150 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|CM8071504569915|5.5 ГГц||Есть||||Есть|5.0|3200 МГц|241 Вт|4800 МГц|3.4 ГГц|2.5 ГГц|5.3 ГГц|5.2 ГГц|4 ГГц|8 cores|8 cores|||||14336 КБ|30 МБ|128 ГБ||
AMD Ryzen 5 Renoir 4650G PRO MPK|Ryzen 5|Renoir (Zen 2)|AMD AM4|7 нм|3.7 ГГц|65 Вт|||95 °С|6 cores|||12 threads|Radeon Vega 7|||||2 шт|100-100000143MPK|4.2 ГГц||||||Есть|3.0|3200 МГц||||||||||16910 балл(ов)|||384 КБ|3072 КБ|8 МБ|64 ГБ|Есть|
AMD Ryzen 9 Matisse 3900 OEM|Ryzen 9|Matisse (Zen 2)|AMD AM4|7 нм|3.1 ГГц|65 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|31|95 °С|12 cores|||24 threads|отсутствует|||||2 шт|100-000000070|4.3 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||30975 балл(ов)||3168 балл(ов)|768 КБ|6144 КБ|64 МБ|128 ГБ||
