|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Gamemax GP Series GP-550|550 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная|||||||||||85 %|1 вентилятор|139 мм||80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||||
Deepcool DE 500|500 Вт|ATX|24+4 pin|3 шт|3 шт|1 шт|не модульная||||||||||||1 вентилятор|120 мм||без 80+|2.31||||Есть|Есть|Есть|||3 года|86x150x140 мм||||||||||||||
Aerocool Kcas Plus M Kcas Plus 1000GM|1000 Вт|ATX|24+8+8(4+4) pin|10 шт|6 шт|6 шт|полумодульная|20 А|20 А|80 А|0.5 А|3 А|960 Вт|120 Вт|6 Вт|15 Вт|активная|90 %|1 вентилятор|140 мм||80+ Gold|2.4||||Есть|Есть|Есть|||2 года||||Есть|||||||||||
Gamemax RGB Smart Series RGB-750|750 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|1 шт|модульная|20 А|20 А|60 А|0.5 А|2.5 А|720 Вт|100 Вт|6 Вт|12.5 Вт|активная|90 %|1 вентилятор|140 мм||80+ Gold|2.31|600 мм|600 мм|550 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||Есть||
Thermaltake Toughpower Grand Platinum TPG-1200F-P|1200 Вт|ATX|24+8 (4+4) pin|12 шт|8 шт|8 шт|модульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Platinum|2.3||||Есть|Есть|Есть||40 дБ|7 лет|86x150x180 мм||Есть|||||||4711246872530|||||
Thermaltake Toughpower GF3 TPD-1350AH3FSG|1350 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|24 А|24 А|112.5 А|0.5 А|3 А|1350 Вт|120 Вт|6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.83 кг|Есть||||||1 шт|4713227534352|||||
Thermaltake Toughpower GF3 TPD-1200AH3FCG|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|100 А|0.3 А|3 А|1200 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.88 кг|Есть||||||1 шт|4713227534147|||||
Gamemax Eco Gamer GE-700|700 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+|2.31||||Есть|Есть|Есть|||2 года|86x150x140 мм|1.74 кг|||||||||||||
Chieftec A80 CTG-750C|750 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|полумодульная||||||||||активная|85 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|450 мм|550 мм|550 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|Есть|||||||||||
Accord ATX 80+ ACC-600W-80BR|600 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|2 шт|не модульная||||||||||активная|82 %|1 вентилятор|120 мм||80+ Bronze|2.31||||Есть|Есть|Есть|||1 год|86x150x140 мм||Есть||||||||||||
Aerocool Aero White 700W|700 Вт|ATX|24+8 (4+4) pin|800 мм|800 мм|4 шт|не модульная|20 А|20 А|55 А|0.3 А|2.5 А|660 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|скольжения|80+ White|2.4|500 мм|550 мм|600 мм|Есть|Есть|Есть||25 дБ|||||||||||4710562753943|||||
Crown Micro CM-PS300|300 Вт|ATX|24+4 pin|2 шт|3 шт||не модульная||||||||||активная||1 вентилятор|80 мм||без 80+|2||||Есть|Есть|Есть||||||Есть||||||||||||
Chieftec Task TPS-600S|600 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||2 года|||Есть||2.92||||||||||
Chieftec A80 CTG-650C|650 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|полумодульная||||||||||активная|85 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|450 мм|550 мм|550 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|Есть|||||||||||
Thermaltake Toughpower GF3 TPD-0750AH3FCG|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.63 кг|Есть||||||1 шт|4713227533812|||||
Thermaltake Toughpower GF3 TPD-1650AH3FSG|1650 Вт|ATX|24+8+8(4+4) pin|600 мм|600 мм|9 шт|модульная|25 А|25 А|137.5 А|0.3 А|3 А|1650 Вт|130 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм|гидродинамический|80+ Gold|3|600 мм|750 мм|600 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x180 мм|2.14 кг|Есть||||||2 шт|4713227534468|||||
Chieftec Task TPS-700S|700 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.3|650 мм|650 мм|500 мм|Есть|Есть|Есть|||2 года|||Есть||2.92||||||||||
Chieftec PowerPlay Gold GPU-550FC|550 Вт|ATX|24+8 (4+4) pin|800 мм|700 мм|2 шт|модульная|20 А|20 А|45.9 А|0.3 А|3 А|550 Вт|110 Вт|3.6 Вт|15 Вт|активная|87 %|полупассивная|140 мм|качения|80+ Gold||600 мм|700 мм|600 мм|Есть|Есть|Есть|AFC, SIP, SCP, OTP||3 года|86x150x160 мм|2.24 кг|Есть||||||||||||
NZXT C Series Gold 2022 C850 Gold|850 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|650 мм|Есть|Есть|Есть|||10 лет|86x150x150 мм|||Есть|2.92|PA-8G1BB|||||||||
Thermaltake TR2 S TRS-0500P-2|500 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|20 А|15 А|35 А|0.5 А|2.5 А|420 Вт|100 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
Formula AP 450-80|450 Вт|ATX|24+8 (4+4) pin|7 шт|1 шт|2 шт|не модульная||||||||||активная||1 вентилятор|120 мм||80+|||||||||||86х150х140 мм||Есть||||||||||||
Thermaltake Russian Gold W0430RE|1200 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|8 шт|полумодульная||||||||||активная|90 %|1 вентилятор|135 мм||80+ Gold|2.3||||Есть|Есть|Есть|||5 лет|150x86x180 мм||Есть||2.92||||||||||
Aerocool Aero White 600W|600 Вт|ATX|24+8 (4+4) pin|800 мм|800 мм|2 шт|не модульная|20 А|20 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|скольжения|80+ White|2.4|500 мм|550 мм|650 мм|Есть|Есть|Есть||25 дБ|||||||||||4710562753929|||||
Thermaltake Litepower 2 LTP-0550P-2|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть||||||||||||
Chieftec A-90 GDP-750C|750 Вт|ATX|24+8 (4+4) pin|550 мм|550 мм|2 шт|полумодульная|22 А|22 А|62 А|0.3 А|2.5 А|774 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|140 мм|скольжения|без 80+|2.3|550 мм|550 мм|550 мм|Есть|Есть|Есть|||2 года|87x150x160 мм||Есть|Есть|||||||||||
QDION DQ QD350|350 Вт|ATX|24+4 pin|2 шт|3 шт||не модульная|||||||||||70 %|1 вентилятор|80 мм||без 80+|||||||||||||Есть||||||||||||
Cooler Master MWE V2 Bronze MPE-4501-ACAAB|450 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|20 А|20 А|37.5 А|0.3 А|3 А|450 Вт|120 Вт|3.6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.52|610 мм|650 мм|550 мм|Есть|Есть|Есть|UVP, OCP, OTP|28 дБ|5 лет|86x150x140 мм|||||||||4719512082157, 4719512103746, 4719512103753|||||
Formula AP 500-80|500 Вт|ATX|24+8 (4+4) pin|7 шт|1 шт|2 шт|не модульная||||||||||активная||1 вентилятор|120 мм||80+|||||||||||86х150х140 мм||Есть||||||||||||
Gigabyte Aorus GM GP-AP850GM|850 Вт|ATX|24+8+8(4+4) pin|550 мм|450 мм|6 шт|модульная|20 А|20 А|70 А|0.3 А|3 А|846 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|качения|80+ Gold|2.31|650 мм|800 мм|750 мм|Есть|Есть|Есть|OCP, OTP||10 лет|86x150x160 мм||Есть||||||||||||
Aerocool Aero White 500W|500 Вт|ATX|24+8 (4+4) pin|800 мм|800 мм|2 шт|не модульная|18 А|18 А|38 А|0.3 А|2.5 А|456 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|скольжения|80+ White|2.4|500 мм|550 мм|600 мм|Есть|Есть|Есть||25 дБ||||||||||||||||
Gamemax VP Gamer RGB VP-500-RGB|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная|15 А|15 А|34 А|0.5 А|2.5 А|408 Вт|100 Вт|6 Вт|12.5 Вт|активная|80 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||2 года|86x150x140 мм|||Есть|||||||||Есть||
Cooler Master MWE Gold V2 MPE-6501-ACAAG|650 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|54 А|0.3 А|3 А|648 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|23 дБ|5 лет|86x150x140 мм|||Есть||||||4719512105955|||||
Thermaltake Smart BM2 PS-SPD-0550MNFABE-1|550 Вт|ATX|24+8+8(4+4) pin|6 шт|4 шт|2 шт|полумодульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0550MNFABE-1, SP-550AH3CCB-B|||||||||
MSI MPG A1000G|1000 Вт|ATX|24+8+8(4+4) pin|950 мм|1100 мм|7 шт|модульная|22 А|22 А|40 А|0.3 А|2.5 А|850 Вт|120 Вт|||активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold||600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x150 мм||Есть|||||40 А|||||||
Thermaltake Toughpower GF1 Snow PS-TPD-0750FNFAGE-W|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||||||4713227528870|||||
Deepcool DE v2 DE500 v2|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная|16 А|16 А|25 А|0.5 А|2.5 А|300 Вт|90 Вт|6 Вт|12.5 Вт|пассивная||1 вентилятор|120 мм||без 80+|2.31||||Есть|Есть|Есть|||1 год|86x140x150 мм|1.5 кг||||DP-DE500US-PH||||6933412798897|||||
Chieftec Element ELP-500S|500 Вт|ATX|24+4 pin|3 шт|2 шт|1 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|87x150x140 мм||Есть||||||||||||
Thermaltake TR2 S TRS-0550P-2|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|21 А|16 А|38 А|0.5 А|2.5 А|456 Вт|105 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
Gamemax VP Gamer VP-700|700 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|20 А|20 А|48 А|0.5 А|2.5 А|576 Вт|120 Вт|6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
Cooler Master MWE Gold V2 MPE-7501-ACAAG|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|25 дБ|5 лет|86x150x140 мм|||Есть|||||||||||
1stPlayer FK PS -700FK|700 Вт|ATX|24+8 (4+4) pin|4 шт|2 шт|2 шт|не модульная|20 А|20 А|58 А|0.3 А|2.5 А|696 Вт|100 Вт|||активная||1 вентилятор|120 мм||без 80+|||||||||||86x140x150 мм||||||||||||||
Asus ROG Thor Platinum II ROG-THOR-850P2-GAMING|850 Вт|ATX|24+8+8(4+4) pin|760 мм|690 мм|3 шт|модульная|20 А|20 А|71 А|0.3 А|3 А|850 Вт|100 Вт|3.6 Вт|15 Вт|активная|92 %|полупассивная|135 мм|качения|80+ Platinum|3|610 мм|650 мм|675 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм|1.87 кг||||90YE00L2-B0NA00, ROG-THOR-850P2-GAMING|||1 шт|4711081236450|||Есть|Asus Aura Sync|
NZXT C Series Gold 2022 C750 Gold|750 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|650 мм|Есть|Есть|Есть|||10 лет|86x150x150 мм|||Есть|2.92|PA-7G1BB|||||||||
Thermaltake Toughpower GF1 Snow PS-TPD-0850FNFAGE-W|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная|22 А|22 А|70.9 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||||||4713227528894|||||
MSI MEG PCIE5 Ai1300P|1300 Вт|ATX|24+8+8(4+4) pin|16 шт|4 шт|8 шт|модульная|25 А|25 А|108.33 А|0.3 А|3 А|1300 Вт|130 Вт|3.6 Вт|15 Вт|активная|92 %|полупассивная|120 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OCP, OTP, UVP||10 лет|86x150x160 мм||Есть|Есть|||||1 шт|4719072970260|||||
Cooler Master MWE White 230V V2 MPE-5501-ACABW|550 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|17 А|17 А|45 А|0.3 А|3 А|540 Вт|110 Вт|3.6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ White|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP|31 дБ / при загрузке 100% /|3 года|86x150x140 мм||||||||||||||
Cooler Master MWE White 230V V2 MPE-6501-ACABW|650 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|4 шт|не модульная|19 А|19 А|54 А|0.3 А|3 А|648 Вт|120 Вт|3.6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ White|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP|42 дБ / при загрузке 100% /|3 года|86x150x140 мм||||||||||||||
Thermaltake Toughpower GX1 RGB TP-700AH2NKG|700 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть|Есть||PS-TPD-0700NHFAGE-1|||||||Есть||
Gamemax VP Gamer VP-600|600 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|18 А|18 А|40 А|0.5 А|2.5 А|480 Вт|100 Вт|6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
1stPlayer FK PS -750FK|750 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|2 шт|не модульная|20 А|20 А|62 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||без 80+|2.4||||Есть|Есть|Есть||||86x150x140 мм||||||||||||||
Chieftec PowerPlay Gold GPU-650FC|650 Вт|ATX|24+8 (4+4) pin|800 мм|700 мм|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|87 %|полупассивная|140 мм|качения|80+ Gold||600 мм|700 мм|600 мм|Есть|Есть|Есть|AFC, SIP, SCP, OTP||3 года|86x150x160 мм|2.36 кг|Есть||||||||||||
Aerocool Mirage Gold 850W|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|70 А|0.3 А|2.5 А|840 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold|2.52|550 мм|600 мм|500 мм|Есть|Есть|Есть|||1 год||||||ACPG-MD85FEC.11||||4711099472574|||Есть|multi compatibility|
Cooler Master MWE Gold V2 MPE-5501-ACAAG|550 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|не модульная|20 А|20 А|45 А|0.3 А|3 А|540 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|21 дБ|5 лет|86x150x140 мм|||Есть|||||||||||
Chieftec PowerPlay Gold GPU-750FC|750 Вт|ATX|24+8 (4+4) pin|800 мм|700 мм|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|87 %|полупассивная|140 мм|качения|80+ Gold||600 мм|700 мм|600 мм|Есть|Есть|Есть|AFC, SIP, SCP, OTP||3 года|86x150x160 мм|2.44 кг|Есть|||||||0753263076083|||||
Chieftec PowerUp GPX-550FC|550 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|модульная|20 А|20 А|45.5 А|0.3 А|2.5 А|550 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|качения|80+ Gold|2.53|650 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, OTP, AFC, SIP, UVP||5 лет|86x150x140 мм|2.15 кг|Есть||||||||||||
Chieftec iARENA GPC GPC-600S|600 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|2 шт|не модульная|22 А|22 А|45 А|0.3 А|2.5 А|540 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|87x150x140 мм||||||||||||||
Chieftec PowerPlay Platinum GPU-1050FC|1050 Вт|ATX|24+8+8(4+4) pin|9 шт|3 шт|8 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Platinum|||||Есть|Есть|Есть|AFC, SIP, SCP, OTP||2 года|86x150x160 мм|3.46 кг|Есть||||||||||||
be quiet! Dark Power 13 BN335|1000 Вт|ATX|24+8+8(4+4) pin|750 мм|900 мм|4 шт|модульная|25 А|25 А|32 А|0.5 А|3 А|996 Вт|125 Вт|||активная|95 %|1 вентилятор|135 мм|гидродинамический|80+ Titanium|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|26 дБ|10 лет|86x150x170 мм|2.03 кг||Есть|2.92|||32 А|1 шт|4260052189405|40 А|40 А|||
Zalman LX II ZM500-LXII|500 Вт|ATX|24 (20+4) pin||||не модульная||||||||||активная||1 вентилятор|||без 80+|||||||||||||||||||||||||
1stPlayer Black Sir SR SR-600W|600 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|20 А|20 А|50 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||80+|2.4||||Есть|Есть|Есть|||||2.3 кг|||||||||||||
Crown Standart CM-PS500|500 Вт|ATX|24+8 (4+4) pin|4 шт|4 шт||не модульная||||||||||активная||1 вентилятор|140 мм||без 80+|2.3||||Есть|Есть|Есть||||86x150x160 мм||Есть||||1 шт||||||||
Chieftec SteelPower BDK-550FC|550 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|модульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|100 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.3|650 мм|600 мм|500 мм|Есть|Есть|Есть|UVP, SIP, OTP, OCP, AFC||5 лет|86x150x140 мм|1.62 кг|Есть|||||||0753263077417|||||
Zalman TeraMax ZM850-TMX|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|20 А|20 А|70.83 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|550 мм|Есть|Есть|Есть|||7 лет|86x150x140 мм|2.6 кг|Есть|||||||8809213763007|||||
Accord ATX ACC-400-12|400 Вт|ATX|24+8 (4+4) pin|4 шт|1 шт||не модульная||||||||||||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||1 год|||Есть||||||||||||
Accord ATX ACC-500-12|500 Вт|ATX|24+8 (4+4) pin|4 шт|2 шт|1 шт|не модульная||||||||||активная||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||1 год|86x140x150 мм||Есть||||||||||||
Zalman TX II ZM500-TXII|500 Вт|ATX|24+8+4 pin|430 мм|410 мм|2 шт|не модульная|22 А|20 А|37.5 А|0.5 А|3 А|450 Вт|110 Вт|6 Вт|15 Вт|активная|86 %|1 вентилятор|120 мм|гидродинамический|80+|2.31|550 мм|630 мм|410 мм|Есть|Есть|Есть||||86x150x140 мм|1.63 кг|Есть||||||||||||
Gigabyte Aorus GM GP-AP750GM|750 Вт|ATX|24+8+8(4+4) pin|550 мм|450 мм|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|качения|80+ Gold|2.31|650 мм|800 мм|750 мм|Есть|Есть|Есть|OCP, OTP||10 лет|86x150x160 мм||Есть||||||||||||
Cooler Master MWE Gold V2 FM MPE-6501-AFAAG|650 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|54.1 А|0.3 А|3 А|649 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP||5 лет|86x150x160 мм||||||||||||||
Gamemax Eco Gamer GE-500|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+|2.31||||Есть|Есть|Есть|||2 года|86x150x140 мм|1.58 кг|||||||||||||
MSI MPG A750GF|750 Вт|ATX|24+8+8(4+4) pin|950 мм|1100 мм|6 шт|модульная|22 А|22 А|35 А|0.3 А|2.5 А|750 Вт|120 Вт|||активная|90 %|1 вентилятор|140 мм||80+ Gold||600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x160 мм||Есть|||||35 А|||||||
Zalman TeraMax ZM1000-TMX|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|25 А|25 А|83.33 А|0.3 А|3 А|1000 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|550 мм|Есть|Есть|Есть|||7 лет|86x150x140 мм|2.8 кг|Есть|||||||8809213763014|||||
Zalman GigaMax GV II ZM650-GVII|650 Вт|ATX|24+8 (4+4) pin|500 мм|4 шт|2 шт|не модульная|20 А|18 А|54 А|0.3 А|2.5 А|648 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|88 %|1 вентилятор|120 мм||80+ Bronze|2.31|500 мм|650 мм|450 мм|Есть|Есть|Есть|OCP, OTP, UVP|25 дБ|5 лет|86x150x140 мм|2 кг|Есть||||||||||||
Thermaltake TR2 S TRS-0700P-2|700 Вт|ATX|24+8 (4+4) pin|6 шт|5 шт|2 шт|не модульная|24 А|17 А|54 А|0.5 А|2.5 А|648 Вт|120 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть|||||||4717964401908|||||
1stPlayer SFX Platinum PS-750SFX|750 Вт|SFX|||||модульная||||||||||активная||1 вентилятор|80 мм||80+ Platinum|||||Есть|Есть|Есть|UVP||7 лет|64x120x100 мм|1.6 кг|||||||||||||
Chieftec Polaris PPS-550FC|550 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|2 шт|модульная|20 А|20 А|45.8 А|0.3 А|3 А|550 Вт|105 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|120 мм|гидродинамический|80+ Gold|2.4|650 мм|650 мм|500 мм|Есть|Есть|Есть|||2 года|87x150x140 мм|2 кг||Есть|||||||||||
Zalman LX II ZM600-LXII||ATX|24 (20+4) pin||||не модульная||||||||||активная||1 вентилятор|||без 80+|||||||||||||||||||||||||
