|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Seasonic S12 III SSR-500 ГБ3|500 Вт|ATX|24+8 (4+4) pin|400 мм|450 мм|2 шт|не модульная|18 А|18 А|40 А|0.3 А|2.5 А|420 Вт|90 Вт|3.5 Вт|12.5 Вт|активная|82 %|1 вентилятор|120 мм|скольжения|80+ Bronze||550 мм|600 мм|550 мм|Есть|Есть|Есть|UVP||5 лет|86x150x140 мм||Есть|Есть|||||||||||
Antec Neo ECO Gold M NE850G M White|850 Вт|ATX|24+8+8(4+4) pin|10 шт|5 шт|6 шт|модульная|20 А|20 А|70 А|0.3 А|2.5 А|840 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|92 %|полупассивная|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||7 лет|86x150x140 мм|1.38 кг|Есть|||0-761345-11232-1||||0761345112307, 0761345112321|||||
EVGA ATX 100-W1-0700-K2|700 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная|||||||||||80 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть||26 дБ|3 года|86x150x140 мм|1.81 кг|Есть||||||||||||
EVGA ATX 100-W1-0500-KR|500 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная|||||||||||80 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть|||3 года|86x150x140 мм|1.81 кг|Есть||||||||||||
EVGA N1 650|650 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|24 А|20 А|52 А|0.3 А|3 А|624 Вт|120 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|120 мм||без 80+||550 мм|650 мм|550 мм|Есть|Есть|Есть|||2 года|86x140x150 мм|1.81 кг|Есть|Есть||100-N1-0650-L2|||||||||
Corsair TX-M Series TX850M|850 Вт|ATX|24+8 (4+4) pin|800 мм|750 мм|4 шт|полумодульная|25 А|25 А|70.8 А|0.8 А|3 А|849 Вт|130 Вт|9.6 Вт|15 Вт|активная|93 %|1 вентилятор|120 мм|качения|80+ Gold|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть||26 дБ|7 лет|86x150x160 мм|1.78 кг|Есть|Есть|2.92|CP-9020130-EU|||||||||
Seasonic A12 SSR-700RA|700 Вт|ATX|24+8 (4+4) pin|350 мм|2 шт|4 шт|не модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|90 Вт|3.6 Вт|12.5 Вт|активная|82 %|1 вентилятор|120 мм||80+||550 мм|600 мм|600 мм|Есть|Есть|Есть|UVP||3 года|86x150x140 мм||||||||||||||
Gamemax VP Gamer Modular VP-800-RGB-M|800 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|полумодульная|20 А|20 А|60 А|0.5 А|2.5 А|720 Вт|130 Вт|6 Вт|12.5 Вт|активная|85 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
X-Game TTM Multi-rail 1600W|1600 Вт|ATX|24+8 (4+4) pin|8 шт|6 шт|12 шт|не модульная|26 А|26 А|124 А|0.3 А|2.5 А|1584 Вт||||активная||1 вентилятор|140 мм||80+ Gold||||||||||1 год|86x150x165 мм|2.7 кг|||||||||||||
EVGA BQ 500|500 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|полумодульная|20 А|20 А|41.6 А|0.3 А|2.5 А|500 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze||600 мм|600 мм|600 мм|Есть|Есть|Есть|||3 года|86x150x140 мм|2.26 кг|Есть|Есть||110-BQ-0500-K1, 110-BQ-0500-K2|||||||||
Thermaltake Litepower RGB LTP-650AL2NK|650 Вт|ATX|24+8 (4+4) pin|5 шт|6 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|Есть|||||||||Есть||
Corsair CX-F RGB Black CP-9020218-EU|750 Вт|ATX|24+8+8(4+4) pin|8 шт|4 шт|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|130 Вт|3.6 Вт|15 Вт|активная|89 %|1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть||32 дБ|5 лет|86x150x140 мм||||2.92||||||||Есть|Corsair iCUE|
